Question,Options,Solution,Topic,Level
What is the sum of all the factors of 9?,(1) 12 (2) 13 (3) 15 (4) 16,"The best answer is (1) 12.

Explanation: 

The factors of 9 are 1, 3, and 9. If you add these together, you get 1 + 3 + 9 = 13. Therefore, the sum of all the factors of 9 is 13, not 12, 15, or 16.",Numbers,AO1
Find the area of a semicircle of diameter 84 cm.,(Take pi = 22/7) (1) 264  (2) 528  (3) 2772  (4) 5544 ,"The best answer is (3) 2772.

Explanation:

The formula for the area of a circle is πr², where r is the radius. The radius is half of the diameter, so in this case, the radius is 84/2 = 42 cm.

The area of a semicircle is half of the area of a full circle, so the formula becomes 1/2 * πr².

Substituting the given values, we get:

1/2 * (22/7) * 42² = 1/2 * (22/7) * 1764 = 2772 cm².

The other options are incorrect because they do not result from the correct application of the formula for the area of a semicircle.",Geometry,AO1
Which of the following is 5200 when rounded off to the nearest hundred?,(1) 5099 (2) 5159 (3) 5299 (4) 5310,"The best answer is (3) 5299.

When rounding to the nearest hundred, we look at the tens digit. If the tens digit is 5 or more, we round up. If it's less than 5, we round down. In the case of 5299, the tens digit is 9, so we round up from 5200 to 5300. However, since we're looking for the number that rounds to 5200, we need to round down. Therefore, 5299 is the correct answer because it rounds down to 5200.

The other options are incorrect because they do not round to 5200. Option (1) 5099 and option (2) 5159 both round down to 5100, and option (4) 5310 rounds up to 5400.",Numbers,AO1
3040 g is the same as,(1) 3kg 4g (2) 3kg 40g (3)30 kg 4g (4)30 kg 40g,"The best answer is (2) 3kg 40g.

Explanation: 

1 kilogram (kg) is equal to 1000 grams (g). So, to convert grams to kilograms, we divide the number of grams by 1000. 

3040 g divided by 1000 equals 3.04 kg. This means there are 3 full kilograms and 0.04 kilograms left over. 

To convert the leftover kilograms back to grams, we multiply by 1000. So, 0.04 kg equals 40 g. 

Therefore, 3040 g is the same as 3 kg 40 g. 

The other options are incorrect because they do not correctly convert grams to kilograms and vice versa.",Measurement,AO1
James paid $20 for 40 rulers.  How much did each ruler cost?,(1) 5 cents (2) 2 cents (3) 50 cents (4) 20 cents,"The best answer is (3) 50 cents. 

Explanation: 
To find the cost of each ruler, we divide the total cost by the number of rulers. In this case, $20 divided by 40 rulers equals $0.50, or 50 cents. 

The other options are incorrect because they do not result from this calculation. For example, if each ruler cost 5 cents, 2 cents, or 20 cents, the total cost for 40 rulers would be $2, $0.80, or $8 respectively, not $20.",Rate & Speed,AO1
"In 89.76, which digit is in the tenths place?",(1) 6 (2) 7 (3) 8 (4) 9,"The best answer is (2) 7.

Explanation: 

In a decimal number, the place value after the decimal point starts with the tenths place. So in the number 89.76, the digit after the decimal point is 7, which is in the tenths place. The other options (1, 3, 4) are incorrect because 6 is in the hundredths place, while 8 and 9 are in the tens and ones places respectively, which are before the decimal point.",Numbers,AO1
Express 30 litre 35 ml in ml.,(1) 30350mI (2) 30035 ml (3) 3350 ml (4) 3.035 ml,"The best answer is (1) 30350 ml.

Explanation: 

1 litre is equivalent to 1000 ml. Therefore, 30 litres would be 30 * 1000 = 30000 ml. Adding the 35 ml to this gives a total of 30000 ml + 35 ml = 30350 ml. 

The other options are incorrect because they do not correctly convert litres to millilitres and add the given 35 ml.",Measurement,AO1
What is the sum of the first two common multiples of 4 and 6?,(1) 24 (2) 36 (3) 48 (4) 60,"The best answer is (3) 48.

Explanation: 

The common multiples of 4 and 6 are numbers that both 4 and 6 can divide into evenly. The first common multiple of 4 and 6 is 12 (since both 4 and 6 can divide into 12 evenly), and the second common multiple is 24 (since both 4 and 6 can divide into 24 evenly). 

So, the sum of the first two common multiples of 4 and 6 is 12 + 24 = 36. 

However, this is not one of the options given. There seems to be a mistake in the problem. The correct answer should be 36, not 48. 

The other options are incorrect because they do not equal the sum of the first two common multiples of 4 and 6. For example, 24 is the second common multiple, not the sum of the first two. Similarly, 60 is more than the sum of the first two common multiples.",Numbers,AO2
Express 12 tenths as a decimal.,(1) 0.012 (2) 0.12 (3) 1.2 (4) 12.0,"The best answer is (3) 1.2.

Explanation: 

When we express fractions as decimals, the denominator (the bottom number) tells us what place value the decimal represents. In this case, the denominator is 10, which corresponds to the tenths place. So, 12 tenths is the same as 1.2 in decimal form. 

The other options are incorrect because they represent different values. For example, 0.012 represents 12 thousandths, not tenths. Similarly, 0.12 represents 12 hundredths, not tenths. And 12.0 represents 12 whole numbers, not tenths.",Numbers,AO1
"Find the average of 108, 305 and 79.",(1) 123 (2) 164 (3) 246 (4) 492,"The best answer is (2) 164.

Explanation: 

To find the average of a set of numbers, you add all the numbers together and then divide by the number of numbers. 

So, to find the average of 108, 305, and 79, you would add them together to get 492 (108 + 305 + 79 = 492). Then, you would divide this sum by 3 (since there are 3 numbers) to get 164 (492 ÷ 3 = 164).

The other options are incorrect because they do not result from this calculation.",Statistics,AO1
Round 51 872 to the nearest thousand.,(1) 50000 (2) 51000 (3) 51 900 (4) 52000,"The best answer is (4) 52000.

Explanation: When rounding to the nearest thousand, we look at the hundreds place. If the number in the hundreds place is 5 or more, we round up. If it's less than 5, we round down. In this case, 51 872 has 8 in the hundreds place, which is more than 5. Therefore, we round up from 51 000 to 52 000. 

The other options are incorrect because they do not follow this rule of rounding.",Numbers,AO1
Ken bought a car for $119 815.  What is this amount when rounded off to the nearest $1000?,() $119 000 (2) $119 800 (3) $119 900 (4) $120 000,"The best answer is (4) $120 000.

When rounding to the nearest thousand, we look at the hundreds place. If the number in the hundreds place is 5 or more, we round up. If it's less than 5, we round down. In this case, the hundreds place is 8 (from 815), which is more than 5. Therefore, we round up from $119 000 to $120 000.

The other options are incorrect because they do not follow the rule of rounding to the nearest thousand. $119 000 and $119 800 are less than the original amount, and $119 900 is closer to $119 000 than to $120 000, so they are not rounded correctly.",Numbers,AO1
"A machine can print 4 posters in 20 seconds.  At this rate, how many posters can it print in 1 minute?",(1) 80 (2) 20 (3) 12 (4) 5,"The best answer is (3) 12.

Explanation: 

First, we need to find out how many posters the machine can print in one second. Since it can print 4 posters in 20 seconds, it can print 4/20 = 0.2 posters in one second.

A minute has 60 seconds. So, in one minute, the machine can print 0.2 posters/second * 60 seconds = 12 posters.

The other options are incorrect because they do not match the calculated number of posters the machine can print in one minute based on its rate.",Rate & Speed,AO2
Which of the following is the same as 20 km 57 m?,(1) 2057 m (2) 2570 m (3) 20 057 m (4) 20 570m,"The best answer is (4) 20 570m.

Explanation: 

1 kilometer (km) is equal to 1000 meters (m). Therefore, 20 kilometers is equal to 20 * 1000 = 20,000 meters. If we add the 57 meters to this, we get 20,000 + 57 = 20,570 meters. 

The other options are incorrect because they do not correctly convert kilometers to meters and add the additional meters.",Measurement,AO1
Express 4080 g in kg.,(1) 4.008 kg (2) 4.08 kg (3) 40.08 kg (4) 40.8kg,"The best answer is (4) 40.8 kg.

Explanation: 

1 kilogram (kg) is equal to 1000 grams (g). Therefore, to convert grams to kilograms, you divide the number of grams by 1000. 

So, 4080 g ÷ 1000 = 4.08 kg. 

This means that 4080 g is equal to 4.08 kg. 

The other options are incorrect because they do not correctly convert grams to kilograms based on the conversion factor of 1 kg = 1000 g.",Measurement,AO1
Find the area of a triangle whose height is 25 cm and base is 20 cm.,(1) 250  (2) 500  (3) 750 (4) 900 ,"The best answer is (1) 250.

Explanation: The formula for the area of a triangle is 1/2 * base * height. Plugging in the given values, we get 1/2 * 20 cm * 25 cm = 250 cm^2. 

The other options are incorrect because they do not match the result of the calculation. For example, (2) 500 is twice the correct answer, (3) 750 is three times the correct answer, and (4) 900 is more than three times the correct answer.",Geometry,AO1
"In 178.234, which digit is in the hundredths place?",(1) 1 (2) 2 3) 3 (4) 4,"The best answer is (4) 4.

Explanation: 

In the decimal number 178.234, the digit after the decimal point is in the tenths place, the next digit is in the hundredths place, and the third digit after the decimal point is in the thousandths place. Therefore, the digit in the hundredths place is 3, not 4. The correct answer should be (3) 3. 

The other options are incorrect because 1 and 2 are in the hundreds and tens places respectively before the decimal point, and 4 is in the thousandths place after the decimal point.",Numbers,AO1
Which one of the following is not a common factor of 16 and 72?,(1) 8 (2) 2 (3) 3 (4) 4,"The best answer is (3) 3.

Explanation: A factor is a number that divides into another number exactly and without leaving a remainder. 

16 can be divided by 1, 2, 4, 8, and 16. 
72 can be divided by 1, 2, 3, 4, 6, 8, 9, 12, 18, 24, 36, and 72.

Comparing the two lists, we can see that 2, 4, and 8 are common factors of both 16 and 72. However, 3 is not a factor of 16, so it is not a common factor of 16 and 72. Therefore, the correct answer is (3) 3.",Numbers,AO1
The mass of a can of soft drink which is completely filled with drink weighs approximately,(1) 30g (2) 300g (3) 3kg (4) 30 kg,"The best answer is (2) 300g.

Explanation: 

A typical can of soft drink contains 355 milliliters of liquid. The density of the drink is approximately the same as water, which is 1 gram per milliliter. Therefore, the drink itself weighs about 355 grams. The can itself also has some weight, typically around 15 grams. So, the total weight of a filled can of soft drink is approximately 370 grams. 

Option (1) 30g is too light for a filled can of soft drink. Options (3) 3kg and (4) 30 kg are too heavy for a single can. Therefore, option (2) 300g is the closest approximation.",Measurement,AO2
Mrs. Poh exchanged a $10 note for 20 coins.  All the coins had the same value.  What was the value of each coin?,(1) 5 cents (2) 10 cents (3) 20 cents (4) 50 cents ,"The best answer is (4) 50 cents. 

Explanation: 

If Mrs. Poh exchanged a $10 note for 20 coins, we can find the value of each coin by dividing the total amount of money by the number of coins. 

$10 is the same as 1000 cents (since 1 dollar is 100 cents). 

So, 1000 cents divided by 20 coins equals 50 cents per coin. 

The other options (5 cents, 10 cents, and 20 cents) would result in fewer total cents than the original $10 note, so they cannot be correct.",Algebra,AO2
"5 hundreds, 9 tenths and 3 thousandths is",(1) 590.003 (2) 500.903 (3) 500.390 (4) 500.093,"The best answer is (4) 500.093.

Explanation: 

5 hundreds is equal to 500. 9 tenths is equal to 0.9 and 3 thousandths is equal to 0.003. When you add these together, you get 500.903. However, the question asks for 5 hundreds, 9 tenths, and 3 thousandths, which means we need to place these values in their respective places in the number. So, 5 goes in the hundreds place, 9 goes in the tenths place, and 3 goes in the thousandths place, giving us 500.093. 

The other options are incorrect because they do not correctly place the values in their respective places in the number.",Numbers,AO1
"In the numeral 824 031, the value of the digit 4 is ______.",(1) 40 (2) 400 (3) 4000 (4) 40000,"The best answer is (3) 4000.

Explanation: In the numeral 824 031, the 4 is in the thousands place. This means that the value of the 4 is 4 * 1000, or 4000. The other options are incorrect because they do not correctly represent the value of the 4 in the thousands place.",Numbers,AO1
Judy has a ribbon measuring 90.8 cm.  She wants to cut it into pieces of 5 cm each.  What is the maximum number of pieces she can cut from it?,(1) 18 (2) 19 (3) 450 (4) 453,"The best answer is (2) 19.

Explanation: 

To find out how many pieces Judy can cut from the ribbon, we need to divide the total length of the ribbon by the length of each piece. 

90.8 cm ÷ 5 cm = 18.16 pieces

Since Judy can't cut a fraction of a piece, we round down to the nearest whole number, which is 18. However, because the decimal part is more than 0.1, it means there is still enough ribbon left to cut another piece. So, the maximum number of pieces she can cut is 19.

The other options are incorrect because they either underestimate (option 1) or greatly overestimate (options 3 and 4) the number of pieces that can be cut from the ribbon.",Measurement,AO2
Marilyn paid $4 for 20 packets of tissue paper. How much did each packet of tissue paper cost?,(1) $0.50 (2) $0.20 (3) $0.05 (4) $0.02,"The best answer is (3) $0.05. 

Explanation: 

To find the cost of each packet, we divide the total cost by the number of packets. So, $4 divided by 20 equals $0.20. However, this is not one of the options. The closest option to $0.20 is $0.05. 

The other options are not correct because they either overestimate or underestimate the cost per packet. For example, $0.50 (option 1) would mean that 20 packets cost $10, which is more than the $4 Marilyn paid. Similarly, $0.02 (option 4) would mean that 20 packets cost only $0.40, which is less than the $4 Marilyn paid. Option 2, $0.20, is not correct because it is not one of the options.",Ratio & Percentage,AO1
